TE	Al110	Al4	C1674	Sexchro-10	Sexchro-11	Sexchro-12	Sexchro-13	Sexchro-14	Sexchro-15	Sexchro-16	Sexchro-1	Sexchro-2	Sexchro-3	Sexchro-4	Sexchro-5	Sexchro-6	Sexchro-7	Sexchro-8	Sexchro-9	SR	ST8	T2	Z613
Invader6	51.8913	54.944	62.913	56.1508	56.1441	56.2976	55.3235	56.1657	54.6299	56.9011	56.3418	55.4055	54.5703	58.2575	56.3651	56.7927	59.2468	56.8706	53.4766	49.8562	53.3943	52.39	53.1962
Jockey-1_DSe	23.2378	30.992	30.1232	28.2145	28.2255	28.2652	27.7167	28.626	28.171	27.9221	28.7083	30.573	27.9058	27.1117	29.7538	28.9442	28.3032	29.9358	29.422	22.8654	26.7308	25.8234	28.2951
Jockey-1_DSi	177.177	182.15	149.115	181.508	179.602	182.362	181.856	179.713	178.793	199.126	179.817	182.574	178.108	177.086	190.147	184.104	182.504	184.107	194.185	150.491	173.595	175.589	188.852
Jockey-1_DYa	46.0074	50.0015	49.4996	47.9926	48.0996	47.3211	49.7191	48.6348	47.8846	50.8156	47.4335	49.8585	48.5948	49.7467	49.7754	49.8456	48.7274	49.6197	48.8612	44.306	48.2988	47.9976	48.1305
Jockey-3_Dsim_06182020	232.069	265.032	204.002	258.005	259.247	261.602	265.201	253.817	264.341	267.989	263.46	272.113	260.657	259.719	255.53	259.582	259.632	261.687	263.858	161.659	244.918	241.607	243.594
Jockey-4_DSim	57.0942	58.9557	52.9032	56.3289	54.4422	55.0123	55.0915	56.3125	53.2346	57.147	55.7878	55.5474	54.9354	55.5614	57.0168	55.5405	55.9638	56.5258	53.7586	53.9272	55.2276	54.5132	43.643
Jockey-5_DYa	318.551	336.35	343.804	331.93	339.041	331.906	332.478	332.296	327.634	336.095	329.586	340.882	336.793	332.171	329.446	336.325	325.054	336.666	328.483	328.15	319.516	306.723	322.961
Jockey2	52.668	54.4196	50.4644	55.9505	55.1862	54.2736	54.3345	54.272	56.2392	55.8352	56.3086	57.0051	54.8624	55.7324	54.6835	56.4194	59.2328	55.7709	54.708	42.5962	53.6234	54.9776	56.7661
LINEJ1_DM	78.4168	73.5602	71.1406	76.8304	77.1156	83.237	82.0024	77.07	81.0033	83.0741	82.1139	84.9207	79.2875	78.7799	79.8445	82.6426	73.4263	78.3346	79.5428	59.5316	76.9708	78.9565	81.1519
LOOPER1_DM	24.0783	24.4239	22.6058	24.7976	24.5055	25.4417	25.2259	26.0423	25.0637	25.6811	25.351	25.2324	25.7396	24.6671	24.9507	25.3562	25.621	24.959	24.2896	24.3446	23.954	23.4746	25.1149
M4DM	82.5026	80.7052	81.2844	61.2929	61.2219	57.7852	61.3186	60.878	58.6103	62.0209	60.5411	60.1656	61.9088	61.0139	64.7311	61.7411	62.3202	61.9873	62.0306	72.5588	59.0963	86.9716	83.7539
MARINA	5.17104	5.30955	5.2528	5.35353	5.3475	5.29276	5.28693	5.3582	5.57256	5.21092	5.45136	5.3406	5.1114	5.1306	5.1499	5.30964	4.91744	5.4522	5.6776	5.88938	4.7854	5.52032	5.34225
MAX	720.988	812.492	761.334	752.9	776.364	829.142	833.748	760.321	831.356	775.871	841.471	824.271	752.264	765.154	787.84	819.599	771.06	780.224	761.973	693.78	769.209	704.783	744.144
MDG1	297.941	297.794	269.528	280.42	298.26	289.523	297.948	302.129	292.872	304.711	297.664	301.138	296.047	305.894	290.307	304.118	293.188	299.629	291.626	235.765	271.393	274.755	275.308
MDG3	87.5246	99.282	134.295	99.2796	101.826	106.159	106.068	104.712	104.03	105.922	105.072	103.561	104.029	103.326	102.641	106.121	102.037	108.121	105.101	111.912	109.619	93.8454	102.018
MICROPIA	199.223	221.035	235.585	206.773	206.172	214.888	213.065	211.612	212.04	216.135	212.603	222.035	206.038	210.224	208.75	217.021	225.615	211.434	205.71	212.913	212.526	199.037	212.307
MINOS	16.2686	16.3088	20.3546	19.5888	18.9999	18.6714	18.779	20.6841	19.3798	19.6503	19.6338	19.5435	19.472	18.4903	18.9705	19.0232	18.8455	19.9541	19.129	19.8665	19.4382	17.7287	19.1567
Mariner-1_DSim	163.877	158.316	165.597	169.81	170.441	169.854	169.06	169.202	170.173	170.995	168.604	172.28	173.496	170.527	166.405	172.076	172.516	173.259	168.786	106.104	174.067	151.596	154.95
Mariner2_DM	35.8462	35.6854	38.5652	37.5971	38.967	36.4219	36.2149	38.2854	36.5341	36.8226	38.1374	37.9776	36.6317	36.9202	38.0567	37.9982	37.3837	37.513	36.8574	35.2549	36.8813	36.2006	37.0312
Mariner_DMA	5.60728	4.44429	7.772	4.21827	4.2594	4.43256	4.31013	4.05168	4.27144	4.3728	4.17716	4.515	4.00393	4.05418	3.75207	3.94912	4.3307	3.83052	4.3428	3.62319	4.36752	3.59617	5.71935
MuDR-1_DEl	0.0532	0.05244	0.067	0.06678	0.0651	0.09108	0.04884	0.04404	0.03424	0.04555	0.04432	0.0516	0.08519	0.04024	0.06306	0.03612	0.06985	0.06524	0.0846	0.05428	0.08088	0.02654	0.07542
MuDR-1_DK	0.54264	0.38019	0.4958	0.35616	0.4464	0.4048	0.39072	0.45508	0.428	0.41906	0.4986	0.3999	0.41378	0.54324	0.48346	0.39732	0.39116	0.42872	0.4888	0.55637	0.4718	0.5308	0.45252
NINJA	136.607	153.61	153.966	161.73	163.317	158.833	163.809	160.687	153.926	155.152	157.325	163.946	159.865	154.431	159.29	159.915	163.826	161.795	155.504	148.388	155.276	142.387	161.776
NOF_FB	7.33096	7.78734	11.6178	7.69083	7.8027	7.2864	7.26495	7.64828	8.01216	7.80727	7.98868	7.74	7.81314	7.83674	7.60924	7.51296	7.66953	7.57716	7.1628	8.69837	7.49488	6.635	7.74312
NOMAD	164.441	177.523	183.473	187.975	173.045	181.29	183.028	179.669	177.243	178.975	178.454	182.445	188.793	172.177	183.084	196.914	184.194	171.973	174.896	93.0088	166.613	178.853	141.224
NTS_160_Dsim	1.064	1.00947	1.0452	1.49142	1.5996	1.44716	1.69719	1.30652	1.51512	1.5487	1.5512	1.7157	1.20483	1.32792	1.41885	1.51704	1.49479	1.38868	1.4946	0.73278	1.348	1.87107	2.1369
NTS_240_Dsim	919.647	881.779	557.896	679.898	398.245	1001.04	503.943	1149.49	1117.62	1144.37	1138.39	1006.43	1213.97	537.053	874.064	705.135	1126.02	144.488	1496.7	1146.54	1010.77	1293.48	1202.48
NTS_90_Dsim	8.02256	7.09251	9.7686	17.0289	15.4194	16.4045	17.1673	15.7957	17.471	17.5459	17.451	17.4537	16.3565	17.5346	16.8055	17.8192	16.9037	15.844	17.437	9.98752	14.8145	17.2245	21.5701
P-1_DY	94.2172	93.6578	92.4332	89.7189	91.977	89.734	90.4761	92.3519	92.2254	92.8582	92.4737	91.5384	90.7395	91.5561	92.7192	93.1776	90.4977	90.0126	90.9638	86.8344	91.2192	87.1706	89.2344
PROTOP	894.643	886.708	884.038	858.624	868.815	863.347	873.943	888.404	867.924	880.828	867.963	879.574	858.022	869.385	863.207	885.975	870.485	873.023	852.467	793.818	870.201	837.801	859.273
PROTOP_A	262.372	259.46	265.079	248.689	263.097	258.161	261.685	263.256	263.374	263.479	253.81	261.638	262.762	259.307	262.603	262.027	252.815	262.2	255.699	218.708	255.325	247.804	243.657
PROTOP_B	46.8692	44.7051	40.4144	43.4849	46.3233	44.9733	46.3736	46.7705	45.1968	46.9438	45.0734	44.7759	46.3069	46.2458	47.4211	46.2095	45.7797	45.3698	43.8228	44.2111	44.457	43.5123	45.8554
Polinton-1_DY	55.7217	55.2324	57.4458	53.7913	52.1823	50.6506	52.2832	55.1968	52.2331	55.0973	52.0538	52.0644	52.8178	50.7024	50.3324	55.8656	53.0022	51.1854	52.1512	49.4762	50.9544	55.2961	54.0761
QUASIMODO	34.5906	37.9928	35.1348	37.9644	37.9719	35.8754	36.2149	37.4927	36.9107	38.927	36.3092	37.8486	39.2604	38.6103	35.5763	38.0946	39.3116	39.0508	35.8798	33.6129	35.5872	34.3428	34.7309
QUASIMODO2_DM	212.502	201.96	166.87	178.136	190.334	194.314	197.228	193.409	194.577	225.636	197.446	200.169	189.329	193.645	223.485	200.598	179.417	196.354	212.938	181.105	192.737	208.764	222.627
R-Rsp_SAT	0.12768	0.19665	0.0804	0.14469	0.186	0.14168	0.13431	0.13212	0.1712	0.17309	0.12188	0.1032	0.20689	0.1509	0.17867	0.16856	0.15367	0.15844	0.1786	0.06785	0.09436	0.05308	0.06285
R1_DSi	196.021	214.847	204.859	226.006	222.53	224.624	225.201	221.198	216.063	222.958	221.655	226.15	226.459	215.707	223.821	224.341	226.09	214.882	225.356	194.35	205.246	201.465	202.44
R2_DSi	45.1987	45.0853	40.5216	41.3925	38.037	41.573	40.9646	41.1627	40.874	40.8128	41.0957	41.8089	39.2482	37.2321	40.4215	41.8872	40.9042	37.8485	41.3036	28.7955	39.9412	42.8621	46.1319
ROO	500.069	510.962	513.22	531.769	526.547	536.32	529.816	519.173	525.635	522.768	525.646	526.63	526.377	521.722	522.662	520.694	517.421	530.131	519.275	485.942	524.048	525.558	521.781
ROOA	498.431	534.206	514.707	517.812	519.944	517.972	521.184	523.694	504.081	520.773	521.259	528.384	510.385	518.814	503.177	521.043	516.387	528.556	500.334	502.674	533.08	489.265	522.598
ROVER_DM	2.59616	2.68755	2.9212	3.28335	2.4831	2.59072	2.40537	2.45156	2.87616	2.53258	2.6038	3.0057	2.25145	2.80674	4.04635	2.5886	3.40868	2.87988	2.7542	3.13467	2.68252	2.61419	2.48886
RSP-LIKE_SAT	235.059	285.785	453.885	356.36	340.901	346.58	358.864	350.118	385.979	367.306	382.637	361.716	351.506	357.14	358.139	367.605	373.739	348.866	384.798	351.354	429.365	313.278	145.51
S2_DM	7.73528	7.69557	6.5526	8.21394	9.1233	8.349	8.16849	8.17676	7.94368	8.26277	8.033	8.6559	8.82325	8.01782	8.62871	8.4882	8.91286	8.21092	7.7832	7.49064	8.12844	7.0331	8.30877
STALKER4	337.884	339.47	318.357	332.52	337.097	334.193	334.505	341.78	339.284	366.532	342.583	347.513	329.527	335.934	353.273	342.707	340.295	336.07	347.556	294.333	325.973	327.862	340.861
S_DM	41.1342	39.7757	38.7528	39.9344	39.9249	40.8949	40.5738	42.0288	40.8141	40.2753	40.6304	40.8543	40.234	39.5157	39.8434	40.5387	40.6667	39.1254	40.4482	40.6693	40.5613	38.138	38.615
Stalker2	17.6518	23.0605	27.6978	29.8507	28.9137	35.6325	36.8986	43.2179	33.6408	29.7168	36.6083	36.1329	43.7633	31.1558	29.3229	35.9033	28.9039	28.1837	28.388	12.0366	27.8227	14.6766	16.9821
TABOR	13.8746	16.7939	16.1336	26.9457	27.0723	31.3518	34.652	33.5732	32.1086	27.9677	31.3675	36.7134	33.285	24.7677	26.0333	31.5207	29.1274	28.3701	26.5644	13.3529	18.9529	10.5231	6.75009
TABOR_DA	17.4283	17.8558	16.3078	22.4492	22.7478	21.839	23.7362	22.8861	22.6241	24.7154	22.1378	23.5167	22.7822	23.2788	24.7195	23.6345	22.7292	23.6728	24.3836	17.7767	16.2434	18.9894	19.207
TAHRE	44.007	39.6446	29.7346	33.6015	29.9739	31.3821	30.989	29.7857	31.7319	37.515	30.5032	32.6628	31.8732	28.4597	36.9742	32.9896	30.5524	29.2275	34.0844	34.5357	29.3055	32.7902	47.502
TART-A	122.115	142.991	114.382	97.8772	104.281	118.617	120.916	105.872	117.52	119.796	118.024	132.07	135.683	111.777	129.178	132.103	97.2731	107.543	124.832	134.519	117.963	124.313	127.711
TART_B1	92.0998	63.9113	22.9944	39.9456	26.1702	26.2209	23.4798	34.3365	28.5818	24.7519	29.5836	28.1607	35.439	19.3454	35.24	29.4137	31.9634	20.2803	31.7908	47.2915	32.8912	39.8896	95.7206
TC1-2_DM	76.9804	74.0977	79.5692	73.1464	71.424	71.2144	71.8681	73.8551	73.0596	73.5086	73.3164	72.1368	70.6347	73.4782	74.9678	76.2012	73.2866	73.4882	73.6114	77.2676	74.6792	73.5689	78.4368
TIRANT	109.273	122.067	114.838	129.286	120.565	124.152	120.855	123.283	123.101	130.401	126.334	134.405	123.745	125.227	131.102	126.974	126.317	121.393	124.296	150.261	120.983	112.808	125.801
TRANSIB1	121.051	108.852	114.57	98.2779	99.7704	95.1179	93.8338	97.4312	94.8876	102.497	94.5235	92.6607	96.6663	96.5257	102.357	96.1033	99.634	99.2021	99.7622	107.814	97.5008	105.072	101.126
TRANSIB2	274.469	264.153	250.111	288.278	284.859	285.799	285.262	288.623	285.622	289.971	287.371	290.418	287.662	289.497	288.857	294.101	292.448	294.493	282.743	227.786	259.692	261.392	269.978
TRANSIB3	29.792	29.6286	35.1348	32.1991	30.5226	31.0988	30.6349	31.1656	30.3195	31.4842	30.5808	31.8243	30.6075	31.8298	31.8979	30.8224	30.72	30.4484	30.4466	29.9219	29.629	28.9684	30.8468
TRANSIB4	37.9422	35.2135	35.041	39.2221	37.3953	38.3852	38.0219	38.6524	38.015	38.7995	38.6249	38.9709	39.0414	39.3245	39.0972	40.0089	37.4536	40.1878	36.7634	34.6306	35.7355	35.0593	35.4097
TRANSPAC	15.0875	12.874	4.1942	10.1839	9.6348	9.24968	9.87789	9.14564	9.31328	10.3216	9.99416	10.7586	9.95506	9.93928	9.91093	9.36712	10.0305	10.3825	9.541	5.00733	9.82692	4.97625	13.9024
TV1	0.28728	0.30153	0.1742	0.14469	0.1767	0.17204	0.20757	0.26424	0.26536	0.33707	0.29916	0.2838	0.23123	0.16096	0.17867	0.32508	0.22352	0.233	0.1786	0.21712	0.337	0.33175	0.23883
Transib-1_DRh	268.447	266.33	261.943	262.635	261.655	262.24	262.051	261.583	261.833	264.864	261.942	265.766	260.913	264.447	262.708	268.348	262.343	265.089	258.688	258.549	259.773	263.025	260.098
Transib-N1_DM	44.954	43.5252	41.9956	42.3942	41.6361	42.4838	42.21	40.9278	41.6786	40.9677	41.55	41.5122	40.0636	43.1172	42.2502	41.1407	41.449	41.8095	41.6514	42.447	42.2598	42.8886	42.298
Transib5	49.9867	47.9957	47.5432	50.2297	47.6997	47.2199	47.8388	48.5761	47.7049	48.2739	46.7798	48.5427	48.2662	48.127	49.2709	47.1366	47.1767	49.0418	50.055	45.7038	47.4631	47.3872	49.928
ZAM	55.4344	53.4233	50.853	48.2374	50.4153	49.1124	49.5238	50.0441	48.7578	51.5626	51.2672	51.7548	46.7571	47.9158	55.3036	50.0262	53.5051	51.0736	49.7542	46.9658	49.1346	49.6165	52.2912
dsim_rDNA_18S_rDNA	7.91616	7.53825	7.3164	5.38692	5.8869	6.04164	5.54334	6.3858	6.14608	5.88506	5.817	6.2436	5.81726	6.59936	6.12733	6.75444	5.68579	5.94616	6.2792	6.32362	6.21428	6.28998	6.14673
dsim_rDNA_28S_rDNA	17.2368	16.5579	16.8304	15.9493	16.6935	15.0687	16.3248	15.1351	17.2142	16.1156	16.5314	16.8345	15.3707	16.6392	16.1539	17.0366	17.0713	16.7108	16.9858	8.2777	14.0057	14.2254	17.3717
dsim_rDNA_5_8S_rDNA	0.06384	0.11799	0.0134	0.06678	0.0372	0.0506	0.03663	0.02936	0.05136	0.02733	0.07756	0.0516	0.02434	0.04024	0.06306	0.02408	0.04191	0.06524	0.047	0.06785	0.02696	0.03981	0.06285
dsim_rDNA_ETS	6.13928	5.88639	6.6598	4.46313	3.72	4.0986	4.57875	5.505	4.47688	4.62788	4.5428	5.0955	4.49073	3.68196	4.79256	5.57452	4.0513	3.93304	4.7188	4.03029	4.05748	4.72412	4.57548
dsim_rDNA_ITS1	1.862	2.12382	1.541	1.72515	1.4787	1.55848	1.45299	1.48268	1.3268	1.53959	1.51796	1.4835	1.56993	1.31786	1.66058	1.37256	1.41097	1.42596	1.5416	1.51984	1.44236	1.67202	1.74723
dsim_rDNA_ITS2	1.42576	1.45521	1.072	1.48029	1.1346	1.64956	1.3431	1.5414	1.30968	1.59425	1.59552	1.3416	1.24134	1.54924	1.33477	1.33644	1.24333	1.45392	1.4382	1.51984	0.95708	1.327	1.05588
hAT-1_DSi	40.8789	40.5886	31.8116	35.0484	32.8662	32.1006	32.6862	29.6536	31.9374	33.0693	33.0738	33.5142	32.2748	31.3168	32.3708	33.5916	33.2626	32.3684	31.1798	32.6766	34.4953	32.7769	40.4503
hAT-2_DSe	68.9472	63.8064	76.179	67.1584	68.0853	67.3688	66.2392	67.9244	66.0147	66.4666	68.6074	67.983	67.1662	67.905	66.1815	69.1578	67.1817	68.3156	65.2642	65.4888	67.09	72.5471	65.7788
noCat_dsim_final-B-P113.23-Map3_novel_repeat	8.7248	9.5703	8.4286	12.0427	11.6529	10.9498	9.95115	11.0834	10.7514	10.6678	11.3127	11.2359	10.3567	11.0056	10.8989	10.5952	12.6708	10.4291	10.199	8.08772	9.78648	9.31554	9.89259
noCat_dsim_final-B-P139.100-Map3_novel_repeat	5.28808	7.66935	5.4538	4.99737	4.9662	5.24216	4.49328	5.02056	4.74224	4.94673	4.86412	5.16	5.12357	5.1809	4.68746	5.2374	4.93141	4.66932	4.7376	6.35076	4.81236	7.41793	6.47355
noCat_dsim_final-B-P81.43-Map3_novel_repeat	100.92	97.7219	103.368	99.0793	101.119	103.902	100.269	102.349	101.633	102.597	99.0441	101.626	101.997	101.847	101.726	101.762	103.001	105.707	101.36	101.354	98.4579	96.7648	100.321
